part,feature,feature_type,nominal_mm,Cir,Cyl,Per,Par,Co,Run,Fla,it_dim,note
軸承座,H-1,H,47,0.005,0.005,,,,,,7,軸承外圈座 高精度
軸承座,H-2,H,60,0.008,0.008,,,,,,7,馬達水套定位段
軸承,H-3,H,25,,,,,,,,6,軸承內圈標準件
軸承,H-4,H,25,,,0.002,0.002,,,,6,軸承內圈含端面平行度
軸承,S-3,S,47,,,,,,,,6,軸承外圈標準件
工作臺,H-2,H,30,0.008,0.008,0.01,,,,,7,工作臺定位於心軸
工作臺心軸,H-1,H,8,0.005,0.005,,,,,,6,編碼器心軸對接
工作臺心軸,S-1,S,25,0.005,0.005,,,,,,6,軸承內圈支撐
工作臺心軸,S-3,S,30,0.008,0.008,0.005,,,,,6,工作臺定位段
工作臺心軸,S-4,S,22,0.005,0.005,,,,,,6,轉動軸對接段
工作臺心軸,H-4,H,10,0.005,0.005,,,,,,6,編碼器心軸銜接
編碼器,H-1,H,8,0.005,0.005,,,,,,7,編碼器讀取軸
編碼器心軸,S-2,S,8,0.005,0.005,,,,,,6,編碼器讀取段
編碼器心軸,S-4,S,10,0.005,0.005,,,,,,6,工作臺心軸銜接
轉動軸,H-1,H,22,0.005,0.005,,,,,,6,工作臺心軸對接
轉動軸,S-2,S,18,0.005,0.005,,,,,,6,馬達輸出對接
馬達,H-5,H,18,0.01,0.01,,,,,,7,馬達輸出端
馬達,S-1,S,80,,,,,,,,8,馬達外殼
馬達座,H-2,H,35,0.01,0.01,,,,,,7,分流座定位
馬達水套,H-1,H,80,,,,,,,,8,馬達外殼套合
馬達水套,S-2,S,60,0.008,0.008,,,,,,7,軸承座定位
分流座,S-1,S,35,0.008,0.008,,,,,,7,馬達座定位段
分流座,S-3,S,30,0.008,0.008,,,,,,7,馬達座定位段
工作臺,Fla-1,P,400,,,,,,,0.005,7,工作臺台面平面度
工作臺,Per-1,S,125,,,0.01,,,,,5,工作臺主軸垂直度
軸承座,Cir-1,H,185,0.015,,,,,,,4,軸承座外殼圓度
