n,r,m
(:Resource:owl__DatatypeProperty {uri: 公稱值}),[:rdfs__subPropertyOf],"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})"
"(:Resource:owl__Class {rdfs__comment: 控制角度尺寸允許變動範圍。,rdfs__label: AngularSizeTolerance(Ang),uri: 角度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制角度尺寸允許變動範圍。,rdfs__label: AngularSizeTolerance(Ang),uri: 角度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
"(:Resource:owl__Class {rdfs__comment: 特徵實際位置相對於理論位置之變動範圍，用於限制軸線或中心平面的位置變動量。,rdfs__label: PositionTolerance(Pos),uri: 位置度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 限制受測特徵（點、線、面）相對於基準在理想位置上變動量的一類幾何公差。包含位置度、同心度、對稱度及距離公差。,rdfs__label: UpperDeviation,uri: 位置類公差})"
"(:Resource:owl__Class {rdfs__comment: 特徵實際位置相對於理論位置之變動範圍，用於限制軸線或中心平面的位置變動量。,rdfs__label: PositionTolerance(Pos),uri: 位置度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
(:Resource {uri: topObjectProperty}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有特徵面})
(:Resource {uri: topObjectProperty}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有零件})
(:Resource {uri: topObjectProperty}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有參考公差})
(:Resource:owl__Class {uri: 組合件}),[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有零件})
"(:Resource:owl__Class {rdfs__comment: 用於表示最大極限尺寸與最小極限尺寸之差。,rdfs__label: Tolerance,uri: 公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})"
