subject,subject_label,relation,object,object_label
公稱值,OntologyProperty,rdfs__subPropertyOf,topDataProperty,
角度公差,OntologyClass,rdfs__subClassOf,尺寸類公差,OntologyClass
角度公差,OntologyClass,rdfs__domain,有個別參考公差,OntologyProperty
位置度公差,OntologyClass,rdfs__subClassOf,位置類公差,OntologyClass
位置度公差,OntologyClass,rdfs__domain,有交互參考公差,OntologyProperty
topObjectProperty,,rdfs__subPropertyOf,有特徵面,OntologyProperty
topObjectProperty,,rdfs__subPropertyOf,有零件,OntologyProperty
topObjectProperty,,rdfs__subPropertyOf,有參考公差,OntologyProperty
組合件,OntologyClass,rdfs__domain,有零件,OntologyProperty
公差,OntologyClass,rdfs__subClassOf,方向類公差,OntologyClass
公差,OntologyClass,rdfs__subClassOf,尺寸類公差,OntologyClass
公差,OntologyClass,rdfs__subClassOf,位置類公差,OntologyClass
公差,OntologyClass,rdfs__subClassOf,輪廓類公差,OntologyClass
公差,OntologyClass,rdfs__subClassOf,偏轉類公差,OntologyClass
公差,OntologyClass,rdfs__subClassOf,形狀類公差,OntologyClass
平行度公差,OntologyClass,rdfs__subClassOf,方向類公差,OntologyClass
平行度公差,OntologyClass,rdfs__domain,有交互參考公差,OntologyProperty
位置類公差,OntologyClass,rdfs__subClassOf,位置度公差,OntologyClass
位置類公差,OntologyClass,rdfs__subClassOf,公差,OntologyClass
位置類公差,OntologyClass,rdfs__subClassOf,同心度公差,OntologyClass
位置類公差,OntologyClass,rdfs__subClassOf,對稱度公差,OntologyClass
位置類公差,OntologyClass,rdfs__subClassOf,距離公差,OntologyClass
對稱度公差,OntologyClass,rdfs__domain,有交互參考公差,OntologyProperty
對稱度公差,OntologyClass,rdfs__subClassOf,位置類公差,OntologyClass
公差值,OntologyProperty,rdfs__subPropertyOf,topDataProperty,
形狀類公差,OntologyClass,rdfs__subClassOf,真直度公差,OntologyClass
形狀類公差,OntologyClass,rdfs__subClassOf,真平度公差,OntologyClass
形狀類公差,OntologyClass,rdfs__subClassOf,真圓度公差,OntologyClass
形狀類公差,OntologyClass,rdfs__subClassOf,圓柱度公差,OntologyClass
形狀類公差,OntologyClass,rdfs__subClassOf,公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,直徑公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,真圓度公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__subPropertyOf,有參考公差,OntologyProperty
有個別參考公差,OntologyProperty,rdfs__range,特徵面,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,圓柱度公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,真平度公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,真直度公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,半徑公差,OntologyClass
有個別參考公差,OntologyProperty,rdfs__domain,角度公差,OntologyClass
下偏差,OntologyProperty,rdfs__subPropertyOf,topDataProperty,
有特徵面,OntologyProperty,rdfs__subPropertyOf,topObjectProperty,
有特徵面,OntologyProperty,rdfs__range,特徵面,OntologyClass
有特徵面,OntologyProperty,rdfs__domain,零件,OntologyClass
偏轉類公差,OntologyClass,rdfs__subClassOf,圓偏轉度公差,OntologyClass
偏轉類公差,OntologyClass,rdfs__subClassOf,公差,OntologyClass
偏轉類公差,OntologyClass,rdfs__subClassOf,總偏轉度公差,OntologyClass
內圓柱面,OntologyClass,rdfs__subClassOf,圓柱面,OntologyClass
圓偏轉度公差,OntologyClass,owl__disjointWith,總偏轉度公差,OntologyClass
圓偏轉度公差,OntologyClass,rdfs__domain,有交互參考公差,OntologyProperty
圓偏轉度公差,OntologyClass,rdfs__subClassOf,偏轉類公差,OntologyClass
面輪廓度公差,OntologyClass,owl__disjointWith,線輪廓度公差,OntologyClass
面輪廓度公差,OntologyClass,rdfs__subClassOf,輪廓類公差,OntologyClass
直徑公差,OntologyClass,rdfs__domain,有個別參考公差,OntologyProperty
直徑公差,OntologyClass,rdfs__subClassOf,尺寸類公差,OntologyClass
同心度公差,OntologyClass,rdfs__domain,有交互參考公差,OntologyProperty
同心度公差,OntologyClass,rdfs__subClassOf,位置類公差,OntologyClass
圓柱度公差,OntologyClass,rdfs__subClassOf,形狀類公差,OntologyClass
圓柱度公差,OntologyClass,rdfs__domain,有個別參考公差,OntologyProperty
垂直度公差,OntologyClass,rdfs__domain,有交互參考公差,OntologyProperty
垂直度公差,OntologyClass,rdfs__subClassOf,方向類公差,OntologyClass
topDataProperty,,rdfs__subPropertyOf,公稱值,OntologyProperty
topDataProperty,,rdfs__subPropertyOf,公差值,OntologyProperty
topDataProperty,,rdfs__subPropertyOf,上偏差,OntologyProperty
topDataProperty,,rdfs__subPropertyOf,下偏差,OntologyProperty
尺寸類公差,OntologyClass,rdfs__subClassOf,半徑公差,OntologyClass
尺寸類公差,OntologyClass,rdfs__subClassOf,公差,OntologyClass
尺寸類公差,OntologyClass,rdfs__subClassOf,直徑公差,OntologyClass
尺寸類公差,OntologyClass,rdfs__subClassOf,角度公差,OntologyClass
有組裝接觸,OntologyProperty,rdfs__domain,特徵面,OntologyClass
有組裝接觸,OntologyProperty,rdfs__range,特徵面,OntologyClass
上偏差,OntologyProperty,rdfs__subPropertyOf,topDataProperty,
半徑公差,OntologyClass,rdfs__subClassOf,尺寸類公差,OntologyClass
半徑公差,OntologyClass,rdfs__domain,有個別參考公差,OntologyProperty
