n,r,m
(:Resource:owl__Class {uri: 平面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__Class {uri: 內圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__Class {uri: 外圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__Class {uri: 錐面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 特徵面})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-8}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-8}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-9}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
